competition_id,country_name,competition_name
11,Spain,La Liga
116,North and Central America,North American League
12,Italy,Serie A
1238,India,Indian Super league
1470,International,FIFA U20 World Cup
16,Europe,Champions League
2,England,Premier League
35,Europe,UEFA Europa League
37,England,FA Women's Super League
43,International,FIFA World Cup
49,United States of America,NWSL
53,Europe,UEFA Women's Euro
55,Europe,UEFA Euro
7,France,Ligue 1
72,International,Women's World Cup
81,Argentina,Liga Profesional
87,Spain,Copa del Rey
9,Germany,1. Bundesliga
